coulomb,turbulent,volume
0.169212502,1114.880335,7.367539948
0.166237492,1078.557333,4.982592072
0.177998895,1144.832635,6.389638232
0.175101379,1244.440437,6.780096846
0.174703638,1239.945675,6.447721589
0.128170373,1221.279961,6.364077607
0.157507272,980.8634759,6.093983965
0.166687065,1306.248148,6.334215855
0.166202746,1143.81242,5.518681884
0.153360087,1104.656655,6.362039426
0.177600406,1237.765211,6.294704898
0.155946213,1230.150788,6.756264447
0.148979909,1068.638057,6.633332456
0.172296527,1137.080186,6.963908945
0.166369694,1079.616965,6.618316603
0.14193019,1314.797726,7.667455935
0.154124456,1029.924518,6.764620562
0.157839126,1426.186042,6.374886398
0.17103583,1153.220248,5.924305146
0.163020677,942.4297577,7.337955111
0.162452053,1399.850342,6.704326098
0.148640857,1220.233531,5.802177516
0.139941866,1183.516317,6.116293201
0.160017686,1158.549252,6.022706594
0.1509013,1134.454459,7.153975678
0.135622931,1218.303812,6.613088238
0.177009597,1115.018849,6.636812038
0.164273581,1087.610196,7.173035396
0.178566442,1230.52457,7.415573411
0.168935783,1003.191896,6.033110135
0.140406198,1095.558927,6.002965327
0.160673854,1045.24401,6.501138414
0.149526646,1353.238036,6.858692785
0.174562788,1194.181316,7.476592692
0.149828217,1096.910856,7.316660633
0.149588858,1126.151214,6.148602925
0.154880114,1117.90197,6.716280532
0.157162712,1091.814892,7.259544848
0.156566729,1129.350999,6.335877926
0.171402661,1141.540094,6.37591413
0.149093432,1112.708919,6.438502682
0.150577688,1211.122062,5.428227788
0.164904926,973.3082703,6.207375279
0.151547522,1075.0091,6.363586062
0.129370249,1285.307081,5.334417641
0.152583514,1021.669188,5.919475839
0.193394665,1152.000496,5.576767661
0.133750311,1201.771517,6.388121707
0.154910906,1043.123353,5.448025402
0.142796923,1265.003312,6.002389315
0.13784917,1364.968422,6.672064242
0.156181646,1271.725551,6.967310497
0.150092111,1403.701783,6.236782701
0.137208086,1133.394046,6.532824537
0.196927654,1162.167272,6.692479235
0.158765553,1111.589903,6.377775342
0.172602234,1388.653176,7.057531161
0.179326534,1008.397807,7.029693165
0.163518797,981.2662467,6.733454555
0.157459926,1318.427541,5.90970752
0.153116612,1043.497408,6.286653465
0.166432188,1065.84896,6.931438828
0.140670675,1029.481793,7.322340932
0.143746441,1197.377092,6.156111327
0.166550429,1344.220428,7.415416597
0.154705475,887.1979134,7.998503417
0.170673059,1212.252644,6.391424305
0.168161735,1131.096779,6.669244572
0.153596052,992.4260941,7.032216491
0.18431592,1114.494835,5.597894556
0.170275861,1144.858449,5.29074022
0.16003411,1077.515462,6.181780109
0.141494842,1357.361319,6.188075497
0.134311785,1172.677245,6.568432414
0.144226773,817.7741228,5.99009171
0.169128122,1143.131823,6.337165604
0.168973132,1013.557257,7.101937308
0.159914496,1231.340727,7.06182895
0.163575687,1048.948625,7.144297316
0.127997361,1087.349065,6.236370746
0.157342063,1267.35335,6.487182012
0.166514682,1141.989697,6.241494821
0.171128813,1281.816261,4.862018422
