coulomb,turbulent,volume
0.169212502,1114.880335,1.648487063
0.166237492,1078.557333,1.114854976
0.177998895,1144.832635,1.429681554
0.175101379,1244.440437,1.517046669
0.174703638,1239.945675,1.442677706
0.128170373,1221.279961,1.423962364
0.157507272,980.8634759,1.363528912
0.166687065,1306.248148,1.417280797
0.166202746,1143.81242,1.234805071
0.153360087,1104.656655,1.423506322
0.177600406,1237.765211,1.408440221
0.155946213,1230.150788,1.51171417
0.148979909,1068.638057,1.484208137
0.172296527,1137.080186,1.558174626
0.166369694,1079.616965,1.48084834
0.14193019,1314.797726,1.715593265
0.154124456,1029.924518,1.513583851
0.157839126,1426.186042,1.426380832
0.17103583,1153.220248,1.325563276
0.163020677,942.4297577,1.641867456
0.162452053,1399.850342,1.500092965
0.148640857,1220.233531,1.298237219
0.139941866,1183.516317,1.368520604
0.160017686,1158.549252,1.347580601
0.1509013,1134.454459,1.600702058
0.135622931,1218.303812,1.479678493
0.177009597,1115.018849,1.484986694
0.164273581,1087.610196,1.60496667
0.178566442,1230.52457,1.659234551
0.168935783,1003.191896,1.349908393
0.140406198,1095.558927,1.343163492
0.160673854,1045.24401,1.45462972
0.149526646,1353.238036,1.534632511
0.174562788,1194.181316,1.672887615
0.149828217,1096.910856,1.637102817
0.149588858,1126.151214,1.375749905
0.154880114,1117.90197,1.502767769
0.157162712,1091.814892,1.62432316
0.156566729,1129.350999,1.417652686
0.171402661,1141.540094,1.426610787
0.149093432,1112.708919,1.440614975
0.150577688,1211.122062,1.214565967
0.164904926,973.3082703,1.388900219
0.151547522,1075.0091,1.423852381
0.129370249,1285.307081,1.193575947
0.152583514,1021.669188,1.324482719
0.193394665,1152.000496,1.247801764
0.133750311,1201.771517,1.429342232
0.154910906,1043.123353,1.218995684
0.142796923,1265.003312,1.343034609
0.13784917,1364.968422,1.492874374
0.156181646,1271.725551,1.558935724
0.150092111,1403.701783,1.395480129
0.137208086,1133.394046,1.46171949
0.196927654,1162.167272,1.497442229
0.158765553,1111.589903,1.427027233
0.172602234,1388.653176,1.579122597
0.179326534,1008.397807,1.572893846
0.163518797,981.2662467,1.506610457
0.157459926,1318.427541,1.322297058
0.153116612,1043.497408,1.406638713
0.166432188,1065.84896,1.550909438
0.140670675,1029.481793,1.638373784
0.143746441,1197.377092,1.377429909
0.166550429,1344.220428,1.659199464
0.154705475,887.1979134,1.78966514
0.170673059,1212.252644,1.430081188
0.168161735,1131.096779,1.492243473
0.153596052,992.4260941,1.57345844
0.18431592,1114.494835,1.252528907
0.170275861,1144.858449,1.183803124
0.16003411,1077.515462,1.383173299
0.141494842,1357.361319,1.384581892
0.134311785,1172.677245,1.469686753
0.144226773,817.7741228,1.34028302
0.169128122,1143.131823,1.417940804
0.168973132,1013.557257,1.589058473
0.159914496,1231.340727,1.580084228
0.163575687,1048.948625,1.598536524
0.127997361,1087.349065,1.395387954
0.157342063,1267.35335,1.451506975
